full.code,unique_ind_id,hh_id,site_code,date,time_point,skip_eating_days,reduce_meals_days,hunt_days,gather_days,restrict_nonworkers,restrict_children,restrict_adults,limit_portions,send_beg,send_to_others,consume_stock,harvest_early,purchase_on_credit,borrow_food,less_preferred
S6.09.02.T08,S6.09.02,S6.09,S6,2022-10-18,T08,0,4,0,3,0,0,0,7,1,1,1,1,0,0,6
S6.09.02.T09,S6.09.02,S6.09,S6,2022-11-23,T09,2,2,0,0,0,0,0,7,0,0,0,0,0,0,2
S6.09.01.T10,S6.09.01,S6.09,S6,2023-02-02,T10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.10.01.T01,S6.10.01,S6.10,S6,2021-08-04,T01,0,0,0,0,2,1,0,2,0,0,0,0,0,0,4
S6.10.01.T02,S6.10.01,S6.10,S6,2021-11-19,T02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.10.01.T03,S6.10.01,S6.10,S6,2022-01-11,T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.10.01.T04,S6.10.01,S6.10,S6,2022-03-31,T04,0,0,0,0,3,5,0,6,0,0,0,3,0,0,7
S6.10.02.T05,S6.10.02,S6.10,S6,2022-05-19,T05,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2
S6.10.01.T06,S6.10.01,S6.10,S6,2022-07-07,T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.10.01.T07,S6.10.01,S6.10,S6,2022-08-24,T07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.10.01.T08,S6.10.01,S6.10,S6,2022-10-18,T08,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.10.01.T09,S6.10.01,S6.10,S6,2022-11-23,T09,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.10.01.T10,S6.10.01,S6.10,S6,2023-02-02,T10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2
S6.10.01.T11,S6.10.01,S6.10,S6,2023-03-27,T11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3
S6.11.01.T01,S6.11.01,S6.11,S6,2021-08-05,T01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.11.01.T02,S6.11.01,S6.11,S6,2021-11-20,T02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
S6.11.01.T03,S6.11.01,S6.11,S6,2022-01-12,T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.11.01.T04,S6.11.01,S6.11,S6,2022-03-31,T04,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
S6.11.01.T05,S6.11.01,S6.11,S6,2022-05-19,T05,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4
S6.11.01.T06,S6.11.01,S6.11,S6,2022-07-08,T06,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
S6.11.01.T07,S6.11.01,S6.11,S6,2022-08-24,T07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S6.11.02.T08,S6.11.02,S6.11,S6,2022-10-19,T08,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.11.01.T09,S6.11.01,S6.11,S6,2022-11-24,T09,0,3,0,4,0,0,0,6,0,0,0,0,0,0,4
S6.11.01.T10,S6.11.01,S6.11,S6,2023-02-02,T10,0,0,0,0,0,0,0,7,0,0,0,7,0,0,7
S6.11.01.T11,S6.11.01,S6.11,S6,2023-03-28,T11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
S6.12.01.T01,S6.12.01,S6.12,S6,2021-08-05,T01,0,0,0,1,3,0,5,2,4,0,2,3,1,6,7
S6.12.01.T02,S6.12.01,S6.12,S6,2021-11-18,T02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.12.01.T03,S6.12.01,S6.12,S6,2022-01-11,T03,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3
S6.12.01.T04,S6.12.01,S6.12,S6,2022-03-31,T04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.12.01.T05,S6.12.01,S6.12,S6,2022-05-19,T05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.12.01.T06,S6.12.01,S6.12,S6,2022-07-07,T06,0,2,0,3,0,0,0,3,1,1,0,0,0,0,4
S6.12.01.T07,S6.12.01,S6.12,S6,2022-08-24,T07,0,5,0,3,0,0,0,4,0,0,0,0,0,0,5
S6.12.01.T08,S6.12.01,S6.12,S6,2022-10-19,T08,2,1,0,4,0,0,0,7,0,0,0,2,2,0,5
S6.12.01.T09,S6.12.01,S6.12,S6,2022-11-23,T09,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.12.01.T10,S6.12.01,S6.12,S6,2023-02-02,T10,0,0,0,3,0,0,0,6,0,0,0,1,0,1,6
S6.12.01.T11,S6.12.01,S6.12,S6,2023-03-27,T11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.13.01.T01,S6.13.01,S6.13,S6,2021-08-06,T01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S6.13.01.T02,S6.13.01,S6.13,S6,2021-11-19,T02,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
S6.13.01.T03,S6.13.01,S6.13,S6,2022-01-12,T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.13.01.T04,S6.13.01,S6.13,S6,2022-03-31,T04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.13.01.T05,S6.13.01,S6.13,S6,2022-05-19,T05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.13.01.T06,S6.13.01,S6.13,S6,2022-07-07,T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.13.01.T07,S6.13.01,S6.13,S6,2022-08-24,T07,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4
S6.13.01.T08,S6.13.01,S6.13,S6,2022-10-18,T08,0,6,0,5,0,0,0,7,0,0,0,0,3,0,5
S6.13.02.T10,S6.13.02,S6.13,S6,2023-02-02,T10,0,0,0,2,0,0,0,4,0,0,0,0,0,0,3
S6.13.02.T11,S6.13.02,S6.13,S6,2023-03-27,T11,5,5,0,0,0,0,0,7,0,0,0,0,0,0,7
S6.14.01.T01,S6.14.01,S6.14,S6,2021-08-06,T01,1,5,0,0,0,0,0,0,0,0,0,0,1,1,1
S6.14.01.T02,S6.14.01,S6.14,S6,2021-11-18,T02,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
S6.14.01.T03,S6.14.01,S6.14,S6,2022-01-11,T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.14.01.T04,S6.14.01,S6.14,S6,2022-03-31,T04,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0
S6.14.01.T05,S6.14.01,S6.14,S6,2022-05-19,T05,0,1,0,0,0,0,0,6,0,0,0,0,3,0,0
S6.14.01.T06,S6.14.01,S6.14,S6,2022-07-07,T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.14.01.T07,S6.14.01,S6.14,S6,2022-08-24,T07,0,4,0,0,0,0,0,6,0,1,0,0,3,0,5
S6.14.01.T08,S6.14.01,S6.14,S6,2022-10-18,T08,0,4,0,3,0,0,0,5,0,0,0,0,0,0,6
S6.14.01.T09,S6.14.01,S6.14,S6,2022-11-23,T09,2,2,0,0,0,0,0,7,0,0,0,0,0,0,7
S6.14.01.T10,S6.14.01,S6.14,S6,2023-02-02,T10,3,3,0,0,0,0,0,7,0,0,0,0,3,0,0
